gtfsId,name,lat,lon,location,zoneId,mode,duration,walk_distance
HSL:6150219,Louhosmäki,60.202282,24.358088,"60.202282, 24.358088",D,BUS,65.0,465.0
HSL:6150218,Solvik,60.201517,24.375928,"60.201517, 24.375928",D,BUS,63.0,466.0
HSL:6150217,Evitskog,60.20141,24.342,"60.20141, 24.342",D,BUS,67.0,556.0
HSL:6150216,Evitskogin VPK,60.20103,24.33853,"60.20103, 24.33853",D,BUS,66.0,483.0
HSL:6150215,Evitskogin VPK,60.200862,24.338385,"60.200862, 24.338385",D,BUS,66.0,465.0
HSL:1465177,Vanha viertotie,60.213022,24.879553,"60.213022, 24.879553",B,BUS,29.0,463.0
HSL:6150225,Karhusuontie,60.212742,24.341698,"60.212742, 24.341698",D,BUS,71.0,585.0
HSL:2312219,Kalastajankuja,60.15334,24.72924,"60.15334, 24.72924",B,BUS,42.0,1555.0
HSL:6150224,Karhusuontie,60.211693,24.341255,"60.211693, 24.341255",D,BUS,69.0,465.0
HSL:6150223,Åkervikintie,60.202485,24.392585,"60.202485, 24.392585",D,BUS,94.0,582.0
HSL:2222234,Aalto-yliopisto (M),60.183559,24.82768,"60.183559, 24.82768",B,BUS,20.0,587.0
HSL:6150222,Solvik,60.202258,24.374953,"60.202258, 24.374953",D,BUS,64.0,579.0
HSL:6150221,Louhosmäki,60.20219,24.35642,"60.20219, 24.35642",D,BUS,66.0,556.0
HSL:6150220,Åkervikintie,60.20238,24.394094,"60.20238, 24.394094",D,BUS,95.0,668.0
HSL:1310602,Lauttasaari,60.159443,24.8785,"60.159443, 24.8785",A,SUBWAY,11.0,348.0
HSL:1310601,Lauttasaari,60.159362,24.87857,"60.159362, 24.87857",A,SUBWAY,9.0,225.0
HSL:1310604,Koivusaari,60.163618,24.853666,"60.163618, 24.853666",A,SUBWAY,12.0,312.0
HSL:1310603,Koivusaari,60.163538,24.85361,"60.163538, 24.85361",A,SUBWAY,11.0,225.0
HSL:2312216,Nuottalahti,60.15117,24.73608,"60.15117, 24.73608",B,BUS,39.0,641.0
HSL:2312217,Nuottalahti,60.15029,24.73707,"60.15029, 24.73707",B,BUS,38.0,622.0
HSL:2312218,Kalastajankuja,60.15421,24.72872,"60.15421, 24.72872",B,BUS,37.0,794.0
HSL:1453189,Itäkeskus (M),60.20987,25.07621,"60.20987, 25.07621",B,BUS,19.0,324.0
HSL:6150229,Stenbackantie,60.220405,24.356558,"60.220405, 24.356558",D,BUS,71.0,465.0
HSL:6150228,Stenbackantie,60.220365,24.357035,"60.220365, 24.357035",D,BUS,71.0,489.0
